id_ies,nome,tipo_instituicao,rede,situacao_funcionamento,id_municipio,sigla_uf
73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,Pública,Municipal,Ativa,2601201,PE
74,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SAO JOSE DO RIO PARDO,Pública,Municipal,Ativa,3549706,SP
75,FACULDADE ESTADUAL DE EDUCACAO CIENCIAS E LETRAS DE PARANAVAI,Pública,Estadual,Ativa,4118402,PR
76,UNIVERSIDADE REGIONAL DE BLUMENAU,Pública,Especial,Ativa,4202404,SC
77,FACULDADE DA REGIAO DOS LAGOS,Privada,Privada,Ativa,3300704,RJ
78,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ALEGRE,Pública,Municipal,Ativa,3200201,ES
79,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,Pública,Especial,Ativa,3511102,SP
80,CENTRO UNIVERSITARIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI,Pública,Especial,Ativa,4214805,SC
81,UNIVERSIDADE DA REGIAO DE JOINVILLE,Pública,Especial,Ativa,4209102,SC
82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,Pública,Especial,Ativa,4209003,SC
83,UNIVERSIDADE DO VALE DO ITAJAI,Privada,Privada,Ativa,4208203,SC
84,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE MACAE,Privada,Privada,Ativa,3302403,RJ
85,FACULDADE DE FILOSOFIA DE ITAPERUNA,Privada,Privada,Ativa,3302205,RJ
86,FACULDADE DE CIENCIAS HUMANAS E SOCIAIS PADRE HUMBERTO,Privada,Privada,Ativa,3302205,RJ
87,CENTRO UNIVERSITARIO DE BRUSQUE,Privada,Privada,Ativa,4202909,SC
88,FACULDADE DE FORMACAO DE PROFESSORES DE PENEDO,Privada,Privada,Ativa,2706703,AL
89,FUNDACAO FACULDADES LUIZ MENEGHEL,Pública,Estadual,Inativa,4102406,PR
90,ESCOLA SUPERIOR DE EDUCACAO CIENCIAS E LETRAS DE RIO VERDE,Privada,Privada,Ativa,5218805,GO
91,ESCOLA SUPERIOR DE CIENCIAS AGRARIAS DE RIO VERDE,Privada,Privada,Ativa,5218805,GO
92,ESCOLA SUPERIOR CIENCIAS HUMANAS E EXATAS DE RIO VERDE,Privada,Privada,Ativa,5218805,GO
93,FACULDADE DE MEDICINA DE JUNDIAI,Pública,Municipal,Ativa,3525904,SP
94,ESCOLA SUPERIOR DE EDUCACAO FISICA DE JUNDIAI,Pública,Municipal,Ativa,3525904,SP
95,UNIVERSIDADE ESTADUAL DO VALE DO ACARAU,Pública,Estadual,Ativa,2312908,CE
96,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS PROFESSOR JOSE AUGUSTO VIEIRA,Privada,Privada,Ativa,3139003,MG
97,ESCOLA SUPERIOR DE AGRICULTURA E CIENCIAS DE MACHADO,Privada,Privada,Ativa,3139003,MG
98,FACULDADE DE ADMINISTRACAO E FINANCAS DE MACHADO,Privada,Privada,Ativa,3139003,MG
99,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,Privada,Privada,Ativa,3118304,MG
100,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ARAXA,Privada,Privada,Inativa,3104007,MG
101,FACULDADE DE CIENCIAS GERENCIAIS DO ALTO PARANAIBA,Pública,Municipal,Inativa,3104007,MG
102,FACULDADE DE DIREITO DO ALTO PARANAIBA,Pública,Municipal,Inativa,3104007,MG
103,"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE ARAGUARI",Privada,Privada,Ativa,3103504,MG
104,FACULDADE DE CIENCIAS ECONOMICAS DE PATOS,Privada,Privada,Ativa,2510808,PB
105,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PATOS,Privada,Privada,Ativa,2510808,PB
106,FACULDADE DE EDUCACAO DE PATOS,Privada,Privada,Ativa,2510808,PB
107,UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI,Pública,Federal,Ativa,3162500,MG
108,ESCOLA SUPERIOR DE EDUCACAO FISICA E TECNICAS DESPORTIVAS DE ANDRADINA,Privada,Privada,Ativa,3502101,SP
109,FACULDADES INTEGRADAS RUI BARBOSA,Privada,Privada,Ativa,3502101,SP
110,FACULDADE DE DIREITO DE SETE LAGOAS,Privada,Privada,Ativa,3167202,MG
111,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SETE LAGOAS,Privada,Privada,Ativa,3167202,MG
122,FACULDADE DE ENGENHARIA DE AGRIMENSURA DE ARARAQUARA,Privada,Privada,Inativa,3503208,SP
123,FACULDADE DE ENGENHARIA CIVIL DE ARARAQUARA,Privada,Privada,Inativa,3503208,SP
124,CENTRO UNIVERSITARIO DE ARARAQUARA,Privada,Privada,Ativa,3503208,SP
125,CENTRO UNIVERSITARIO DE ARARAS,Privada,Privada,Ativa,3503307,SP
126,INSTITUTO NACIONAL DE TELECOMUNICACOES,Privada,Privada,Ativa,3159605,MG
127,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE ATIBAIA,Privada,Privada,Ativa,3504107,SP
128,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TEOFILO OTONI,Privada,Privada,Ativa,3168606,MG
129,FACULDADE DE DIREITO DE TEOFILO OTONI,Privada,Privada,Ativa,3168606,MG
130,FACULDADE DE ADMINISTRACAO DE TEOFILO OTONI,Privada,Privada,Ativa,3168606,MG
131,FACULDADE DE EDUCACAO FISICA DE BARRA BONITA,Privada,Privada,Ativa,3505302,SP
132,FACULDADE DE EDUCACAO ANTONIO AUGUSTO REIS NEVES,Privada,Privada,Ativa,3505500,SP
133,FACULDADE DE CIENCIAS CONTABEIS DE BARRETOS,Privada,Privada,Ativa,3505500,SP
134,FACULDADE DE TECNOLOGIA E PROCESSAMENTO DE DADOS BARRETOS,Privada,Privada,Ativa,3505500,SP
135,CENTRO UNIVERSITARIO CLARETIANO,Privada,Privada,Ativa,3505906,SP
136,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE BEBEDOURO,Privada,Privada,Ativa,3506102,SP
137,UNIVERSIDADE DO SAGRADO CORACAO,Privada,Privada,Ativa,3506003,SP
138,CENTRO UNIVERSITARIO BARAO DE MAUA,Privada,Privada,Ativa,3543402,SP
139,FACULDADE DE CIENCIAS ECONOMICAS DO TRIANGULO MINEIRO,Privada,Privada,Ativa,3170107,MG
140,UNIVERSIDADE SEVERINO SOMBRA,Privada,Privada,Ativa,3306206,RJ
141,FACULDADE DE DIREITO DE VARGINHA FADIVA,Privada,Privada,Ativa,3170701,MG
142,CENTRO UNIVERSITARIO DO TRIANGULO,Privada,Privada,Ativa,3170206,MG
143,UNIVERSIDADE DE UBERABA,Privada,Privada,Ativa,3170107,MG
144,FACULDADE DE CIENCIAS HUMANAS DE OLINDA,Privada,Privada,Ativa,2609600,PE
145,FACULDADE DE CIENCIAS HUMANAS E SOCIAIS,Privada,Privada,Ativa,3304557,RJ
146,CENTRO UNIVERSITARIO DE RIO PRETO,Privada,Privada,Ativa,3549805,SP
149,FACULDADE DE MEDICINA DE SAO JOSE DO RIO PRETO,Pública,Estadual,Ativa,3549805,SP
150,UNIVERSIDADE DE SOROCABA,Privada,Privada,Ativa,3552205,SP
151,ESCOLA DE ADMINISTRACAO DE EMPRESAS DE SAO PAULO,Privada,Privada,Ativa,3550308,SP
152,FACULDADE DE CIENCIAS CONTABEIS,Privada,Privada,Ativa,2927408,BA
158,CONSERVATORIO BRASILEIRO DE MUSICA CENTRO UNIVERSITARIO,Privada,Privada,Ativa,3304557,RJ
159,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CARUARU,Privada,Privada,Ativa,2604106,PE
160,FACULDADE FRASSINETTI DO RECIFE,Privada,Privada,Ativa,2611606,PE
161,CENTRO UNIVERSITARIO ASSUNCAO,Privada,Privada,Ativa,3550308,SP
162,CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO,Privada,Privada,Ativa,3550308,SP
163,UNIVERSIDADE ESTACIO DE SA,Privada,Privada,Ativa,3304557,RJ
165,UNIVERSIDADE VEIGA DE ALMEIDA,Privada,Privada,Ativa,3304557,RJ
166,"FAI CENTRO DE ENSINO SUPERIOR EM GESTAO, TECNOLOGIA E EDUCACAO",Privada,Privada,Ativa,3159605,MG
167,UNIVERSIDADE METODISTA DE SAO PAULO,Privada,Privada,Ativa,3548708,SP
170,FACULDADES DA FUNDACAO DE ENSINO DE MOCOCA,Pública,Municipal,Ativa,3530508,SP
171,FACULDADE DE DIREITO DO SUL DE MINAS,Privada,Privada,Ativa,3152501,MG
172,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS EUGENIO PACELLI,Privada,Privada,Inativa,3152501,MG
173,FACULDADE DE CIENCIAS MEDICAS DR JOSE ANTONIO GARCIA COUTINHO,Privada,Privada,Inativa,3152501,MG
174,INSTITUTO SUPERIOR DE ESTUDOS SOCIAIS CLOVIS BEVILACQUA,Privada,Privada,Ativa,3304557,RJ
176,UNIVERSIDADE CASTELO BRANCO,Privada,Privada,Ativa,3304557,RJ
177,FACULDADE DE CIENCIAS ECONOMICAS E DE ADMINISTRACAO DE EMPRESAS DE SAO JOSE DO RIO PRETO,Privada,Privada,Ativa,3549805,SP
178,FACULDADE DE ENGENHARIA DE SAO JOSE DO RIO PRETO,Privada,Privada,Ativa,3549805,SP
179,FACULDADE DE ARQUITETURA E URBANISMO DE SAO JOSE DO RIO PRETO,Privada,Privada,Ativa,3549805,SP
180,FACULDADE DE DIREITO DE CARUARU,Privada,Privada,Ativa,2604106,PE
181,FACULDADE DE ODONTOLOGIA DE CARUARU,Privada,Privada,Ativa,2604106,PE
190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDACAO TECNICO EDUCACIONAL SOUZA MARQUES,Privada,Privada,Ativa,3304557,RJ
191,FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTRACAO DE EMPRESAS,Privada,Privada,Ativa,3304557,RJ
192,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS SOUZA MARQUES,Privada,Privada,Ativa,3304557,RJ
193,FACULDADE DE ENGENHARIA SOUZA MARQUES,Privada,Privada,Ativa,3304557,RJ
194,ESCOLA DE ENFERMAGEM DA FUNDACAO TECNICO EDUCACIONAL SOUZA MARQUES,Privada,Privada,Ativa,3304557,RJ
195,FACULDADE MORAES JUNIOR MACKENZIE RIO,Privada,Privada,Ativa,3304557,RJ
197,FACULDADE DE EDUCACAO SUPERIOR DO PARANA,Privada,Privada,Ativa,4106902,PR
198,CENTRO UNIVERSITARIO DA CIDADE,Privada,Privada,Ativa,3304557,RJ
199,FACULDADE SAO LUIS,Privada,Privada,Ativa,3550308,SP
200,FACULDADE CASPER LIBERO,Privada,Privada,Ativa,3550308,SP
201,FACULDADE BRASILEIRA DE CIENCIAS JURIDICAS,Privada,Privada,Ativa,3304557,RJ
202,FACULDADE DE ECONOMIA E FINANCAS DO RIO DE JANEIRO,Privada,Privada,Ativa,3304557,RJ
203,UNIVERSIDADE SAO JUDAS TADEU,Privada,Privada,Ativa,3550308,SP
206,CENTRO UNIVERSITARIO ITALOBRASILEIRO,Privada,Privada,Ativa,3550308,SP
207,CENTRO UNIVERSITARIO MOURA LACERDA,Privada,Privada,Ativa,3543402,SP
208,UNIVERSIDADE DE RIBEIRAO PRETO,Privada,Privada,Ativa,3543402,SP
210,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SANTO ANDRE,Privada,Privada,Ativa,3547809,SP
211,FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTRATIVAS DE SANTO ANDRE,Privada,Privada,Ativa,3547809,SP
212,FACULDADE DE FILOSOFIA DE CAMPO GRANDE,Privada,Privada,Ativa,3304557,RJ
213,CENTRO UNIVERSITARIO FECAP,Privada,Privada,Ativa,3550308,SP
214,FACULDADE DE ENGENHARIA DE MINAS GERAIS FEAMIG,Privada,Privada,Ativa,3106200,MG
215,UNIVERSIDADE DO GRANDE ABC,Privada,Privada,Ativa,3547809,SP
216,CENTRO UNIVERSITARIO METODISTA IZABELA HENDRIX,Privada,Privada,Ativa,3106200,MG
217,CENTRO UNIVERSITARIO DAS FACULDADES ASSOCIADAS DE ENSINO FAE,Pública,Municipal,Ativa,3549102,SP
218,"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE DUQUE DE CAXIAS",Privada,Privada,Ativa,3301702,RJ
219,FACULDADE DE EDUCACAO CIENCIAS E ARTES DOM BOSCO DE MONTE APRAZIVEL,Privada,Privada,Ativa,3531407,SP
220,FACULDADE SAO JUDAS TADEU,Privada,Privada,Ativa,3304557,RJ
221,UNIVERSIDADE CRUZEIRO DO SUL,Privada,Privada,Ativa,3550308,SP
222,CENTRO UNIVERSITARIO DE VOTUPORANGA,Privada,Privada,Ativa,3557105,SP
223,FACULDADE DE EDUCACAO FISICA DE SANTO ANDRE,Privada,Privada,Ativa,3547809,SP
224,FACULDADE DE MEDICINA DO ABC,Privada,Privada,Ativa,3547809,SP
225,INSTITUTO DE ENSINO SUPERIOR SANTO ANDRE,Privada,Privada,Ativa,3547809,SP
226,CENTRO UNIVERSITARIO LUSIADA,Privada,Privada,Ativa,3548500,SP
227,UNIVERSIDADE CATOLICA DE SANTOS,Privada,Privada,Ativa,3548500,SP
228,FACULDADE DE ENGENHARIA INDUSTRIAL DE SAO BERNARDO DO CAMPO,Privada,Privada,Ativa,3548708,SP
229,ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO BERNARDO DO CAMPO,Privada,Privada,Ativa,3548708,SP
230,ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO PAULO,Privada,Privada,Ativa,3550308,SP
231,FACULDADE DE SAO BERNARDO DO CAMPO FASB,Privada,Privada,Ativa,3548708,SP
234,FACULDADES OSWALDO CRUZ,Privada,Privada,Ativa,3550308,SP
236,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE SAO JOAO DA BOA VISTA,Privada,Privada,Ativa,3549102,SP
237,FACULDADE DE DIREITO DE SAO JOAO DA BOA VISTA,Privada,Privada,Ativa,3549102,SP
238,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SAO JOAO DA BOA VISTA,Privada,Privada,Ativa,3549102,SP
239,FACULDADE DE MEDICINA VETERINARIA OCTAVIO BASTOS,Privada,Privada,Ativa,3549102,SP
240,UNIVERSIDADE SANTA URSULA,Privada,Privada,Ativa,3304557,RJ
241,FACULDADE DE ENGENHARIA QUIMICA DE LORENA,Pública,Estadual,Ativa,3527207,SP
242,CENTRO UNIVERSITARIO ANHANGUERA,Privada,Privada,Ativa,3547809,SP
243,FACULDADE DO CLUBE NAUTICO MOGIANO,Privada,Privada,Ativa,3530607,SP
244,CENTRO UNIVERSITARIO FIEO,Privada,Privada,Ativa,3534401,SP
245,FACULDADE DE ADMINISTRACAO,Privada,Privada,Ativa,3550308,SP
254,CENTRO UNIVERSITARIO CAPITAL,Privada,Privada,Ativa,3550308,SP
255,FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA FEAP,Privada,Privada,Ativa,3539301,SP
256,"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE PIRAJU",Privada,Privada,Ativa,3538808,SP
257,FACULDADE DE ADMINISTRACAO E CIENCIAS CONTABEIS LUZWELL,Privada,Privada,Ativa,3550308,SP
263,FACULDADES INTEGRADAS CAMPOS SALLES,Privada,Privada,Ativa,3550308,SP
264,UNIVERSIDADE SAO MARCOS,Privada,Privada,Ativa,3550308,SP
265,FACULDADES INTEGRADAS DE OURINHOS,Privada,Privada,Ativa,3534708,SP
266,UNIVERSIDADE METODISTA DE PIRACICABA,Privada,Privada,Ativa,3538709,SP
267,FACULDADES INTEGRADAS ESPIRITO SANTENSES,Privada,Privada,Ativa,3205309,ES
268,FACULDADE DE DIREITO DA ALTA PAULISTA,Privada,Privada,Ativa,3555000,SP
269,FACULDADE FACCAT,Privada,Privada,Ativa,3555000,SP
270,FACULDADES ESEFAP,Privada,Privada,Ativa,3555000,SP
271,UNIVERSIDADE DO OESTE PAULISTA,Privada,Privada,Ativa,3541406,SP
273,ESCOLA DE ENGENHARIA INDUSTRIAL DE SAO JOSE DOS CAMPOS,Privada,Privada,Inativa,3549904,SP
274,FACULDADE DE CIENCIAS APLICADAS DE SAO JOSE DOS CAMPOS,Privada,Privada,Inativa,3549904,SP
275,UNIVERSIDADE DO VALE DO PARAIBA,Privada,Privada,Ativa,3549904,SP
276,FACULDADE DE DIREITO DE SOROCABA,Privada,Privada,Ativa,3552205,SP
277,CENTRO UNIVERSITARIO AUGUSTO MOTTA,Privada,Privada,Ativa,3304557,RJ
278,FACULDADES INTEGRADAS SIMONSEN,Privada,Privada,Ativa,3304557,RJ
279,FACULDADES INTEGRADAS HELIO ALONSO,Privada,Privada,Ativa,3304557,RJ
280,FACULDADE DE DIREITO DO OESTE DE MINAS,Privada,Privada,Ativa,3122306,MG
281,CONSERVATORIO DRAMATICO MUSICAL SAO PAULO,Privada,Privada,Ativa,3550308,SP
282,FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS COSTA BRAGA,Privada,Privada,Ativa,3550308,SP
283,FACULDADE DE EDUCACAO COSTA BRAGA,Privada,Privada,Ativa,3550308,SP
284,FACULDADE DE MEDICINA DE ITAJUBA,Privada,Privada,Ativa,3132404,MG
288,FACULDADE DE DIREITO DO VALE DO RIO DOCE,Privada,Privada,Ativa,3127701,MG
289,FACULDADE DE EDUCACAO DE JOINVILLE,Privada,Privada,Ativa,4209102,SC
290,FACULDADE DE DIREITO DE JOINVILLE,Privada,Privada,Ativa,4209102,SC
291,FACULDADE DE PSICOLOGIA DE JOINVILLE,Privada,Privada,Ativa,4209102,SC
